time,bam10,bam25
2019-10-17-06,34,17
2019-10-17-07,33,16
2019-10-17-08,33,15
2019-10-17-09,35,18
2019-10-17-10,38,16
2019-10-17-11,39,16
2019-10-17-12,31,12
2019-10-17-13,25,12
2019-10-17-14,25,12
2019-10-17-15,27,14
2019-10-17-16,24,11
2019-10-17-17,26,12
2019-10-17-18,25,15
2019-10-17-19,27,17
2019-10-17-20,27,15
2019-10-17-21,30,15
2019-10-17-22,33,17
2019-10-17-23,34,16
2019-10-17-24,33,17
2019-10-18-01,31,17
2019-10-18-02,26,15
2019-10-18-03,24,14
2019-10-18-04,19,11
2019-10-18-05,19,8
2019-10-18-06,16,9
2019-10-18-07,15,8
2019-10-18-08,16,7
2019-10-18-09,16,6
2019-10-18-10,16,6
2019-10-18-11,16,5
2019-10-18-12,19,6
2019-10-18-13,16,4
2019-10-18-14,16,7
2019-10-18-15,19,7
2019-10-18-16,15,5
2019-10-18-17,21,11
2019-10-18-18,22,8
2019-10-18-19,19,7
2019-10-18-20,20,8
2019-10-18-21,23,11
2019-10-18-22,22,9
2019-10-18-23,20,9
2019-10-18-24,18,8
2019-10-19-01,17,7
2019-10-19-02,17,9
2019-10-19-03,18,8
2019-10-19-04,16,7
2019-10-19-05,16,6
2019-10-19-06,20,10
2019-10-19-07,21,10
2019-10-19-08,20,9
2019-10-19-09,24,11
2019-10-19-10,21,7
2019-10-19-11,14,3
2019-10-19-12,14,4
2019-10-19-13,15,6
2019-10-19-14,20,7
2019-10-19-15,21,10
2019-10-19-16,23,10
2019-10-19-17,24,14
2019-10-19-18,28,15
2019-10-19-19,32,14
2019-10-19-20,35,17
2019-10-19-21,36,18
2019-10-19-22,31,14
2019-10-19-23,33,15
2019-10-19-24,39,20
2019-10-20-01,39,18
2019-10-20-02,35,18
2019-10-20-03,33,19
2019-10-20-04,33,18
2019-10-20-05,32,17
2019-10-20-06,30,17
2019-10-20-07,32,16
2019-10-20-08,31,17
2019-10-20-09,33,19
2019-10-20-10,39,22
2019-10-20-11,45,27
2019-10-20-12,49,29
2019-10-20-13,41,26
2019-10-20-14,32,17
2019-10-20-15,30,15
2019-10-20-16,31,16
2019-10-20-17,31,18
2019-10-20-18,34,19
2019-10-20-19,37,23
2019-10-20-20,57,34
2019-10-20-21,61,37
2019-10-20-22,55,30
2019-10-20-23,48,26
2019-10-20-24,43,24
2019-10-21-01,40,22
2019-10-21-02,38,23
2019-10-21-03,36,23
2019-10-21-04,32,20
2019-10-21-05,31,19
2019-10-21-06,30,18
2019-10-21-07,30,17
2019-10-21-08,30,16
2019-10-21-09,35,17
2019-10-21-10,33,16
2019-10-21-11,34,17
2019-10-21-12,35,16
2019-10-21-13,39,23
2019-10-21-14,39,21
2019-10-21-15,36,19
2019-10-21-16,34,18
2019-10-21-17,36,20
2019-10-21-18,45,25
2019-10-21-19,59,32
2019-10-21-20,64,36
2019-10-21-21,61,32
2019-10-21-22,59,29
2019-10-21-23,60,31
2019-10-21-24,50,27
2019-10-22-01,45,25
2019-10-22-02,48,27
2019-10-22-03,48,28
2019-10-22-04,41,24
2019-10-22-05,40,23
2019-10-22-06,37,22
2019-10-22-07,34,22
2019-10-22-08,37,21
2019-10-22-09,40,20
2019-10-22-10,45,22
2019-10-22-11,40,20
2019-10-22-12,36,18
2019-10-22-13,35,18
2019-10-22-14,33,16
2019-10-22-15,33,14
2019-10-22-16,29,14
2019-10-22-17,29,17
2019-10-22-18,30,17
2019-10-22-19,31,17
2019-10-22-20,39,22
2019-10-22-21,53,30
2019-10-22-22,45,24
2019-10-22-23,36,18
2019-10-22-24,34,19
2019-10-23-01,33,18
2019-10-23-02,30,17
2019-10-23-03,30,15
2019-10-23-04,27,15
2019-10-23-05,28,15
2019-10-23-06,25,14
2019-10-23-07,23,14
2019-10-23-08,21,11
2019-10-23-09,24,10
2019-10-23-10,25,11
2019-10-23-11,22,10
2019-10-23-12,,
2019-10-23-13,,
2019-10-23-14,23,11
2019-10-23-15,22,11
2019-10-23-16,22,10
2019-10-23-17,26,10
2019-10-23-18,25,12
2019-10-23-19,23,13
2019-10-23-20,26,13
2019-10-23-21,28,12
2019-10-23-22,28,14
2019-10-23-23,25,16
2019-10-23-24,28,15
2019-10-24-01,30,18
2019-10-24-02,31,16
2019-10-24-03,33,18
2019-10-24-04,32,16
2019-10-24-05,34,17
2019-10-24-06,31,18
2019-10-24-07,35,19
2019-10-24-08,35,19
2019-10-24-09,38,19
2019-10-24-10,39,19
2019-10-24-11,44,19
2019-10-24-12,39,18
2019-10-24-13,35,17
2019-10-24-14,35,16
2019-10-24-15,33,16
2019-10-24-16,34,16
2019-10-24-17,32,17
2019-10-24-18,30,15
2019-10-24-19,26,12
2019-10-24-20,23,10
2019-10-24-21,21,10
2019-10-24-22,21,10
2019-10-24-23,22,9
2019-10-24-24,20,10
2019-10-25-01,19,8
2019-10-25-02,20,9
2019-10-25-03,22,10
2019-10-25-04,24,12
2019-10-25-05,22,11
2019-10-25-06,21,10
2019-10-25-07,22,11
2019-10-25-08,25,11
2019-10-25-09,33,12
2019-10-25-10,26,9
2019-10-25-11,21,7
2019-10-25-12,23,8
2019-10-25-13,24,6
2019-10-25-14,24,11
2019-10-25-15,27,13
2019-10-25-16,36,15
2019-10-25-17,31,12
2019-10-25-18,31,13
2019-10-25-19,30,14
2019-10-25-20,30,13
2019-10-25-21,37,20
2019-10-25-22,30,15
2019-10-25-23,32,17
2019-10-25-24,25,14
2019-10-26-01,23,12
2019-10-26-02,21,10
2019-10-26-03,21,12
2019-10-26-04,23,12
2019-10-26-05,27,13
2019-10-26-06,27,15
2019-10-26-07,22,11
2019-10-26-08,24,13
2019-10-26-09,26,12
2019-10-26-10,23,11
2019-10-26-11,27,11
2019-10-26-12,26,12
2019-10-26-13,22,11
2019-10-26-14,25,13
2019-10-26-15,30,15
2019-10-26-16,28,14
2019-10-26-17,26,13
2019-10-26-18,27,13
2019-10-26-19,27,10
2019-10-26-20,25,12
2019-10-26-21,26,11
2019-10-26-22,27,14
2019-10-26-23,28,14
2019-10-26-24,28,14
2019-10-27-01,28,14
2019-10-27-02,28,14
2019-10-27-03,27,13
2019-10-27-04,26,13
2019-10-27-05,27,16
2019-10-27-06,28,15
2019-10-27-07,27,15
2019-10-27-08,27,14
2019-10-27-09,28,13
2019-10-27-10,31,15
2019-10-27-11,29,12
2019-10-27-12,25,12
2019-10-27-13,21,10
2019-10-27-14,22,11
2019-10-27-15,22,12
2019-10-27-16,26,12
2019-10-27-17,28,16
2019-10-27-18,28,14
2019-10-27-19,29,13
2019-10-27-20,28,15
2019-10-27-21,29,16
2019-10-27-22,29,15
2019-10-27-23,28,16
2019-10-27-24,26,14
2019-10-28-01,28,18
2019-10-28-02,31,17
2019-10-28-03,28,18
2019-10-28-04,28,16
2019-10-28-05,28,17
2019-10-28-06,27,16
2019-10-28-07,29,16
2019-10-28-08,32,18
2019-10-28-09,41,23
2019-10-28-10,45,23
2019-10-28-11,41,21
2019-10-28-12,35,17
2019-10-28-13,35,15
2019-10-28-14,33,17
2019-10-28-15,33,16
2019-10-28-16,31,13
2019-10-28-17,33,19
2019-10-28-18,39,24
2019-10-28-19,35,18
2019-10-28-20,31,17
2019-10-28-21,27,15
2019-10-28-22,29,17
2019-10-28-23,32,15
2019-10-28-24,39,20
2019-10-29-01,61,23
2019-10-29-02,79,24
2019-10-29-03,140,26
2019-10-29-04,191,26
2019-10-29-05,193,26
2019-10-29-06,185,26
2019-10-29-07,173,26
2019-10-29-08,154,25
2019-10-29-09,138,22
2019-10-29-10,141,26
2019-10-29-11,129,17
2019-10-29-12,123,16
2019-10-29-13,138,17
2019-10-29-14,126,16
2019-10-29-15,115,15
2019-10-29-16,101,15
2019-10-29-17,77,13
2019-10-29-18,64,14
2019-10-29-19,55,11
2019-10-29-20,50,12
2019-10-29-21,43,13
2019-10-29-22,31,10
2019-10-29-23,25,10
2019-10-29-24,27,9
2019-10-30-01,27,9
2019-10-30-02,27,9
2019-10-30-03,23,8
2019-10-30-04,24,9
2019-10-30-05,25,8
2019-10-30-06,25,10
2019-10-30-07,29,12
2019-10-30-08,27,10
2019-10-30-09,31,10
2019-10-30-10,35,11
2019-10-30-11,34,10
2019-10-30-12,29,8
2019-10-30-13,26,9
2019-10-30-14,32,13
2019-10-30-15,38,18
2019-10-30-16,24,8
2019-10-30-17,27,11
2019-10-30-18,26,11
2019-10-30-19,25,8
2019-10-30-20,30,8
2019-10-30-21,33,11
2019-10-30-22,32,11
2019-10-30-23,31,11
2019-10-30-24,34,11
2019-10-31-01,33,12
2019-10-31-02,31,11
2019-10-31-03,30,12
2019-10-31-04,31,12
2019-10-31-05,31,12
2019-10-31-06,29,13
2019-10-31-07,29,15
2019-10-31-08,30,13
2019-10-31-09,36,11
2019-10-31-10,37,12
2019-10-31-11,35,12
2019-10-31-12,41,12
2019-10-31-13,57,16
2019-10-31-14,85,24
2019-10-31-15,108,25
2019-10-31-16,125,30
2019-10-31-17,143,37
2019-10-31-18,159,37
2019-10-31-19,167,40
2019-10-31-20,181,40
2019-10-31-21,176,42
2019-10-31-22,144,36
2019-10-31-23,128,32
2019-10-31-24,159,37
2019-11-01-01,172,41
2019-11-01-02,168,40
2019-11-01-03,183,46
2019-11-01-04,200,47
2019-11-01-05,209,51
2019-11-01-06,201,50
2019-11-01-07,200,51
2019-11-01-08,185,47
2019-11-01-09,176,51
2019-11-01-10,139,43
2019-11-01-11,99,34
2019-11-01-12,94,32
2019-11-01-13,75,28
2019-11-01-14,71,27
2019-11-01-15,67,29
2019-11-01-16,61,25
2019-11-01-17,,
2019-11-01-18,,
2019-11-01-19,58,32
2019-11-01-20,49,23
2019-11-01-21,50,23
2019-11-01-22,59,28
2019-11-01-23,59,30
2019-11-01-24,61,28
2019-11-02-01,68,30
2019-11-02-02,61,29
2019-11-02-03,60,29
2019-11-02-04,59,29
2019-11-02-05,59,30
2019-11-02-06,60,30
2019-11-02-07,64,31
2019-11-02-08,66,31
2019-11-02-09,77,34
2019-11-02-10,79,35
2019-11-02-11,82,40
2019-11-02-12,88,40
2019-11-02-13,91,42
2019-11-02-14,97,42
2019-11-02-15,99,45
2019-11-02-16,103,44
2019-11-02-17,109,46
2019-11-02-18,107,46
2019-11-02-19,108,47
2019-11-02-20,106,51
2019-11-02-21,107,54
2019-11-02-22,112,61
2019-11-02-23,107,60
2019-11-02-24,90,49
2019-11-03-01,87,47
2019-11-03-02,86,46
2019-11-03-03,88,49
2019-11-03-04,96,50
2019-11-03-05,102,55
2019-11-03-06,96,53
2019-11-03-07,99,54
2019-11-03-08,99,56
2019-11-03-09,104,60
2019-11-03-10,108,61
2019-11-03-11,104,57
2019-11-03-12,99,51
2019-11-03-13,81,39
2019-11-03-14,46,22
2019-11-03-15,27,12
2019-11-03-16,22,11
2019-11-03-17,16,11
2019-11-03-18,17,9
2019-11-03-19,14,9
2019-11-03-20,12,6
2019-11-03-21,9,7
2019-11-03-22,7,4
2019-11-03-23,5,2
2019-11-03-24,6,4
2019-11-04-01,9,3
2019-11-04-02,7,3
2019-11-04-03,9,5
2019-11-04-04,7,3
2019-11-04-05,9,5
2019-11-04-06,8,4
2019-11-04-07,9,5
2019-11-04-08,12,4
2019-11-04-09,18,8
2019-11-04-10,16,5
2019-11-04-11,17,4
2019-11-04-12,17,5
2019-11-04-13,17,7
2019-11-04-14,15,5
2019-11-04-15,18,5
2019-11-04-16,18,7
2019-11-04-17,19,9
2019-11-04-18,24,12
2019-11-04-19,23,13
2019-11-04-20,30,13
2019-11-04-21,28,12
2019-11-04-22,27,13
2019-11-04-23,33,15
2019-11-04-24,35,15
2019-11-05-01,32,13
2019-11-05-02,32,15
2019-11-05-03,33,16
2019-11-05-04,30,16
2019-11-05-05,29,14
2019-11-05-06,27,15
2019-11-05-07,29,13
2019-11-05-08,30,14
2019-11-05-09,38,17
2019-11-05-10,41,16
2019-11-05-11,46,19
2019-11-05-12,42,19
2019-11-05-13,37,20
2019-11-05-14,41,22
2019-11-05-15,38,21
2019-11-05-16,37,20
2019-11-05-17,39,20
2019-11-05-18,40,22
2019-11-05-19,41,24
2019-11-05-20,46,25
2019-11-05-21,51,29
2019-11-05-22,50,27
2019-11-05-23,43,26
2019-11-05-24,44,25
2019-11-06-01,48,27
2019-11-06-02,46,26
2019-11-06-03,47,27
2019-11-06-04,51,27
2019-11-06-05,56,30
2019-11-06-06,47,27
2019-11-06-07,46,27
2019-11-06-08,46,24
2019-11-06-09,53,30
2019-11-06-10,64,38
2019-11-06-11,72,45
2019-11-06-12,75,46
2019-11-06-13,74,45
2019-11-06-14,69,42
2019-11-06-15,69,39
2019-11-06-16,59,29
2019-11-06-17,61,33
2019-11-06-18,62,31
2019-11-06-19,58,31
2019-11-06-20,45,22
2019-11-06-21,42,22
2019-11-06-22,43,21
2019-11-06-23,40,17
2019-11-06-24,42,19
2019-11-07-01,38,20
2019-11-07-02,41,17
2019-11-07-03,49,22
2019-11-07-04,53,25
2019-11-07-05,55,26
2019-11-07-06,52,25
2019-11-07-07,44,23
2019-11-07-08,39,21
2019-11-07-09,41,21
2019-11-07-10,43,20
2019-11-07-11,49,24
2019-11-07-12,60,28
2019-11-07-13,62,31
2019-11-07-14,60,29
2019-11-07-15,50,24
2019-11-07-16,35,7
2019-11-07-17,43,22
2019-11-07-18,62,34
2019-11-07-19,70,24
2019-11-07-20,70,20
2019-11-07-21,68,21
2019-11-07-22,67,20
2019-11-07-23,68,19
2019-11-07-24,63,19
2019-11-08-01,56,18
2019-11-08-02,53,15
2019-11-08-03,52,14
2019-11-08-04,46,13
2019-11-08-05,49,16
2019-11-08-06,50,16
2019-11-08-07,50,18
2019-11-08-08,53,20
2019-11-08-09,60,21
2019-11-08-10,62,20
2019-11-08-11,71,23
2019-11-08-12,65,22
2019-11-08-13,48,20
2019-11-08-14,31,15
2019-11-08-15,36,18
2019-11-08-16,34,15
2019-11-08-17,44,21
2019-11-08-18,41,19
2019-11-08-19,42,19
2019-11-08-20,45,19
2019-11-08-21,48,21
2019-11-08-22,49,22
2019-11-08-23,55,27
2019-11-08-24,56,25
2019-11-09-01,62,28
2019-11-09-02,60,28
2019-11-09-03,58,27
2019-11-09-04,56,26
2019-11-09-05,54,23
2019-11-09-06,49,24
2019-11-09-07,50,21
2019-11-09-08,49,22
2019-11-09-09,59,27
2019-11-09-10,61,26
2019-11-09-11,59,28
2019-11-09-12,65,34
2019-11-09-13,62,33
2019-11-09-14,46,24
2019-11-09-15,38,17
2019-11-09-16,26,10
2019-11-09-17,27,12
2019-11-09-18,36,18
2019-11-09-19,40,20
2019-11-09-20,44,23
2019-11-09-21,46,23
2019-11-09-22,52,28
2019-11-09-23,49,25
2019-11-09-24,48,24
2019-11-10-01,45,24
2019-11-10-02,48,23
2019-11-10-03,43,24
2019-11-10-04,39,22
2019-11-10-05,41,25
2019-11-10-06,39,22
2019-11-10-07,42,25
2019-11-10-08,43,23
2019-11-10-09,50,26
2019-11-10-10,55,27
2019-11-10-11,60,31
2019-11-10-12,62,33
2019-11-10-13,60,34
2019-11-10-14,58,30
2019-11-10-15,45,26
2019-11-10-16,42,23
2019-11-10-17,41,23
2019-11-10-18,42,22
2019-11-10-19,47,29
2019-11-10-20,53,29
2019-11-10-21,40,23
2019-11-10-22,19,12
2019-11-10-23,11,10
2019-11-10-24,14,8
2019-11-11-01,17,13
2019-11-11-02,23,13
2019-11-11-03,25,17
2019-11-11-04,25,15
2019-11-11-05,23,15
2019-11-11-06,18,12
2019-11-11-07,18,13
2019-11-11-08,18,10
2019-11-11-09,18,10
2019-11-11-10,19,9
2019-11-11-11,15,9
2019-11-11-12,18,11
2019-11-11-13,19,11
2019-11-11-14,28,12
2019-11-11-15,22,11
2019-11-11-16,30,16
2019-11-11-17,33,18
2019-11-11-18,36,18
2019-11-11-19,33,16
2019-11-11-20,39,16
2019-11-11-21,43,17
2019-11-11-22,39,18
2019-11-11-23,34,16
2019-11-11-24,32,15
2019-11-12-01,32,16
2019-11-12-02,32,14
2019-11-12-03,31,13
2019-11-12-04,32,15
2019-11-12-05,31,14
2019-11-12-06,31,15
2019-11-12-07,37,16
2019-11-12-08,36,16
2019-11-12-09,43,19
2019-11-12-10,50,21
2019-11-12-11,56,25
2019-11-12-12,56,25
2019-11-12-13,55,26
2019-11-12-14,49,21
2019-11-12-15,53,26
2019-11-12-16,44,20
2019-11-12-17,45,22
2019-11-12-18,53,27
2019-11-12-19,50,24
2019-11-12-20,50,23
2019-11-12-21,50,26
2019-11-12-22,53,27
2019-11-12-23,49,27
2019-11-12-24,47,23
2019-11-13-01,48,25
2019-11-13-02,45,23
2019-11-13-03,42,21
2019-11-13-04,39,20
2019-11-13-05,37,21
2019-11-13-06,37,20
2019-11-13-07,38,21
2019-11-13-08,41,21
2019-11-13-09,46,24
2019-11-13-10,55,26
2019-11-13-11,62,30
2019-11-13-12,58,32
2019-11-13-13,60,32
2019-11-13-14,53,30
2019-11-13-15,53,31
2019-11-13-16,46,26
2019-11-13-17,27,16
2019-11-13-18,13,8
2019-11-13-19,10,7
2019-11-13-20,11,6
2019-11-13-21,16,6
2019-11-13-22,16,6
2019-11-13-23,16,5
2019-11-13-24,19,6
2019-11-14-01,21,8
2019-11-14-02,19,5
2019-11-14-03,18,5
2019-11-14-04,17,4
2019-11-14-05,15,5
2019-11-14-06,13,3
2019-11-14-07,12,3
2019-11-14-08,18,2
2019-11-14-09,20,2
2019-11-14-10,18,3
2019-11-14-11,18,2
2019-11-14-12,21,4
2019-11-14-13,23,7
2019-11-14-14,22,7
2019-11-14-15,22,9
2019-11-14-16,8,1
2019-11-14-17,20,11
2019-11-14-18,34,
2019-11-14-19,28,15
2019-11-14-20,26,11
2019-11-14-21,29,11
2019-11-14-22,28,11
2019-11-14-23,29,11
2019-11-14-24,27,10
2019-11-15-01,33,12
2019-11-15-02,32,10
2019-11-15-03,25,10
2019-11-15-04,22,9
2019-11-15-05,22,10
2019-11-15-06,25,9
2019-11-15-07,27,11
2019-11-15-08,20,9
2019-11-15-09,24,11
2019-11-15-10,27,11
2019-11-15-11,30,13
2019-11-15-12,25,12
2019-11-15-13,23,13
2019-11-15-14,24,13
2019-11-15-15,29,14
2019-11-15-16,24,14
2019-11-15-17,27,16
2019-11-15-18,27,16
2019-11-15-19,25,16
2019-11-15-20,25,15
2019-11-15-21,23,16
2019-11-15-22,24,14
2019-11-15-23,25,14
2019-11-15-24,26,13
2019-11-16-01,26,13
2019-11-16-02,24,12
2019-11-16-03,28,15
2019-11-16-04,24,13
2019-11-16-05,23,14
2019-11-16-06,23,13
2019-11-16-07,24,14
2019-11-16-08,24,13
2019-11-16-09,34,16
2019-11-16-10,34,14
2019-11-16-11,32,15
2019-11-16-12,28,16
2019-11-16-13,26,15
2019-11-16-14,26,16
2019-11-16-15,30,17
2019-11-16-16,30,17
2019-11-16-17,34,21
2019-11-16-18,37,21
2019-11-16-19,46,28
2019-11-16-20,49,25
2019-11-16-21,49,24
2019-11-16-22,36,18
2019-11-16-23,35,17
2019-11-16-24,27,14
2019-11-17-01,30,15
2019-11-17-02,25,13
2019-11-17-03,24,13
2019-11-17-04,24,13
2019-11-17-05,27,14
2019-11-17-06,24,13
2019-11-17-07,24,14
2019-11-17-08,27,14
2019-11-17-09,31,15
2019-11-17-10,43,15
2019-11-17-11,39,17
2019-11-17-12,35,14
2019-11-17-13,36,16
2019-11-17-14,38,15
2019-11-17-15,33,13
2019-11-17-16,27,12
2019-11-17-17,24,13
2019-11-17-18,23,9
2019-11-17-19,19,10
2019-11-17-20,16,8
2019-11-17-21,14,8
2019-11-17-22,9,5
2019-11-17-23,8,5
2019-11-17-24,10,5
2019-11-18-01,15,10
2019-11-18-02,12,6
2019-11-18-03,13,6
2019-11-18-04,8,5
2019-11-18-05,13,4
2019-11-18-06,12,6
2019-11-18-07,14,6
2019-11-18-08,19,7
2019-11-18-09,26,7
2019-11-18-10,70,12
2019-11-18-11,143,17
2019-11-18-12,162,17
2019-11-18-13,167,19
2019-11-18-14,170,19
2019-11-18-15,181,19
2019-11-18-16,207,22
2019-11-18-17,212,24
2019-11-18-18,108,13
2019-11-18-19,67,10
2019-11-18-20,47,8
2019-11-18-21,44,8
2019-11-18-22,41,7
2019-11-18-23,36,8
2019-11-18-24,36,6
2019-11-19-01,34,8
2019-11-19-02,31,7
2019-11-19-03,30,7
2019-11-19-04,33,8
2019-11-19-05,29,8
2019-11-19-06,24,7
2019-11-19-07,24,7
2019-11-19-08,23,5
2019-11-19-09,26,7
2019-11-19-10,26,6
2019-11-19-11,27,5
2019-11-19-12,30,8
2019-11-19-13,33,11
2019-11-19-14,34,10
2019-11-19-15,37,10
2019-11-19-16,40,11
2019-11-19-17,42,12
2019-11-19-18,40,12
2019-11-19-19,38,10
2019-11-19-20,40,11
2019-11-19-21,38,12
2019-11-19-22,36,9
2019-11-19-23,32,10
2019-11-19-24,28,7
2019-11-20-01,29,10
2019-11-20-02,30,8
2019-11-20-03,27,7
2019-11-20-04,22,7
2019-11-20-05,24,8
2019-11-20-06,23,8
2019-11-20-07,22,9
2019-11-20-08,22,8
2019-11-20-09,24,9
2019-11-20-10,22,10
2019-11-20-11,21,11
2019-11-20-12,22,9
2019-11-20-13,25,13
2019-11-20-14,,
2019-11-20-15,,
2019-11-20-16,,
2019-11-20-17,32,18
2019-11-20-18,32,18
2019-11-20-19,26,15
2019-11-20-20,26,13
2019-11-20-21,26,10
2019-11-20-22,24,12
2019-11-20-23,31,16
2019-11-20-24,38,16
2019-11-21-01,46,20
2019-11-21-02,39,16
2019-11-21-03,36,17
2019-11-21-04,30,14
2019-11-21-05,29,15
2019-11-21-06,31,15
2019-11-21-07,30,14
2019-11-21-08,28,15
2019-11-21-09,37,17
2019-11-21-10,40,18
2019-11-21-11,41,19
2019-11-21-12,37,19
2019-11-21-13,44,20
2019-11-21-14,51,22
2019-11-21-15,60,24
2019-11-21-16,52,21
2019-11-21-17,54,22
2019-11-21-18,47,20
2019-11-21-19,44,19
2019-11-21-20,49,20
2019-11-21-21,53,20
2019-11-21-22,55,23
2019-11-21-23,49,18
2019-11-21-24,48,18
2019-11-22-01,51,20
2019-11-22-02,46,19
2019-11-22-03,47,19
2019-11-22-04,44,19
2019-11-22-05,42,18
2019-11-22-06,43,19
2019-11-22-07,44,19
2019-11-22-08,46,19
2019-11-22-09,55,20
2019-11-22-10,65,24
2019-11-22-11,63,24
2019-11-22-12,66,24
2019-11-22-13,61,27
2019-11-22-14,51,22
2019-11-22-15,40,19
2019-11-22-16,39,17
2019-11-22-17,39,18
2019-11-22-18,34,17
2019-11-22-19,41,22
2019-11-22-20,48,20
2019-11-22-21,52,20
2019-11-22-22,62,26
2019-11-22-23,68,29
2019-11-22-24,58,25
2019-11-23-01,51,23
2019-11-23-02,48,20
2019-11-23-03,50,23
2019-11-23-04,46,20
2019-11-23-05,42,18
2019-11-23-06,36,16
2019-11-23-07,39,16
2019-11-23-08,37,15
2019-11-23-09,40,15
2019-11-23-10,48,17
2019-11-23-11,44,16
2019-11-23-12,43,17
2019-11-23-13,42,18
2019-11-23-14,27,11
2019-11-23-15,26,10
2019-11-23-16,29,10
2019-11-23-17,33,14
2019-11-23-18,37,15
2019-11-23-19,42,16
2019-11-23-20,43,17
2019-11-23-21,40,18
2019-11-23-22,39,17
2019-11-23-23,37,21
2019-11-23-24,37,19
2019-11-24-01,40,21
2019-11-24-02,37,19
2019-11-24-03,38,18
2019-11-24-04,37,19
2019-11-24-05,33,18
2019-11-24-06,31,17
2019-11-24-07,30,18
2019-11-24-08,30,16
2019-11-24-09,31,16
2019-11-24-10,31,16
2019-11-24-11,34,17
2019-11-24-12,38,21
2019-11-24-13,44,23
2019-11-24-14,50,25
2019-11-24-15,57,31
2019-11-24-16,58,32
2019-11-24-17,53,29
2019-11-24-18,20,13
2019-11-24-19,9,7
2019-11-24-20,12,8
2019-11-24-21,13,7
2019-11-24-22,16,10
2019-11-24-23,19,12
2019-11-24-24,20,11
2019-11-25-01,20,10
2019-11-25-02,17,8
2019-11-25-03,15,6
2019-11-25-04,16,7
2019-11-25-05,18,8
2019-11-25-06,20,8
2019-11-25-07,21,10
2019-11-25-08,23,11
2019-11-25-09,26,12
2019-11-25-10,27,11
2019-11-25-11,30,14
2019-11-25-12,30,14
2019-11-25-13,35,18
2019-11-25-14,40,20
2019-11-25-15,44,22
2019-11-25-16,33,6
2019-11-25-17,42,21
2019-11-25-18,47,30
2019-11-25-19,45,23
2019-11-25-20,42,22
2019-11-25-21,45,22
2019-11-25-22,45,22
2019-11-25-23,43,22
2019-11-25-24,45,22
2019-11-26-01,49,22
2019-11-26-02,44,22
2019-11-26-03,45,22
2019-11-26-04,38,22
2019-11-26-05,30,19
2019-11-26-06,27,15
2019-11-26-07,27,16
2019-11-26-08,24,11
2019-11-26-09,17,8
2019-11-26-10,20,7
2019-11-26-11,21,8
2019-11-26-12,15,5
2019-11-26-13,16,7
2019-11-26-14,14,8
2019-11-26-15,17,12
2019-11-26-16,17,11
2019-11-26-17,26,18
2019-11-26-18,41,21
2019-11-26-19,36,21
2019-11-26-20,35,19
2019-11-26-21,34,18
2019-11-26-22,28,16
2019-11-26-23,28,16
2019-11-26-24,30,15
2019-11-27-01,37,19
2019-11-27-02,46,23
2019-11-27-03,50,25
2019-11-27-04,36,19
2019-11-27-05,28,14
2019-11-27-06,30,15
2019-11-27-07,34,15
2019-11-27-08,32,14
2019-11-27-09,34,17
2019-11-27-10,36,15
2019-11-27-11,39,16
2019-11-27-12,40,16
2019-11-27-13,44,20
2019-11-27-14,50,24
2019-11-27-15,52,25
2019-11-27-16,54,26
2019-11-27-17,52,25
2019-11-27-18,46,24
2019-11-27-19,52,25
2019-11-27-20,53,25
2019-11-27-21,56,26
2019-11-27-22,71,27
2019-11-27-23,56,26
2019-11-27-24,53,27
2019-11-28-01,54,25
2019-11-28-02,53,24
2019-11-28-03,53,23
2019-11-28-04,50,22
2019-11-28-05,48,22
2019-11-28-06,47,22
2019-11-28-07,47,23
2019-11-28-08,45,21
2019-11-28-09,44,22
2019-11-28-10,47,22
2019-11-28-11,41,21
2019-11-28-12,42,23
2019-11-28-13,43,21
2019-11-28-14,36,19
2019-11-28-15,38,18
2019-11-28-16,27,13
2019-11-28-17,25,16
2019-11-28-18,26,12
2019-11-28-19,27,13
2019-11-28-20,33,14
2019-11-28-21,34,16
2019-11-28-22,34,14
2019-11-28-23,41,15
2019-11-28-24,49,19
2019-11-29-01,51,20
2019-11-29-02,52,20
2019-11-29-03,58,23
2019-11-29-04,59,23
2019-11-29-05,64,28
2019-11-29-06,63,25
2019-11-29-07,58,25
2019-11-29-08,61,24
2019-11-29-09,70,26
2019-11-29-10,69,26
2019-11-29-11,68,28
2019-11-29-12,69,28
2019-11-29-13,60,28
2019-11-29-14,44,21
2019-11-29-15,42,22
2019-11-29-16,43,22
2019-11-29-17,46,24
2019-11-29-18,43,19
2019-11-29-19,42,18
2019-11-29-20,41,19
2019-11-29-21,41,20
2019-11-29-22,45,21
2019-11-29-23,50,24
2019-11-29-24,47,22
2019-11-30-01,52,24
2019-11-30-02,49,22
2019-11-30-03,46,21
2019-11-30-04,45,21
2019-11-30-05,47,23
2019-11-30-06,43,21
2019-11-30-07,41,23
2019-11-30-08,41,22
2019-11-30-09,50,20
2019-11-30-10,59,24
2019-11-30-11,59,28
2019-11-30-12,51,24
2019-11-30-13,52,25
2019-11-30-14,47,26
2019-11-30-15,46,26
2019-11-30-16,41,23
2019-11-30-17,44,28
2019-11-30-18,59,34
2019-11-30-19,79,44
2019-11-30-20,67,39
2019-11-30-21,60,35
2019-11-30-22,55,31
2019-11-30-23,57,34
2019-11-30-24,51,28
2019-12-01-01,45,28
2019-12-01-02,34,18
