time,bam10,bam25
2019-09-12-17,13,4
2019-09-12-18,11,5
2019-09-12-19,13,5
2019-09-12-20,14,7
2019-09-12-21,14,6
2019-09-12-22,13,6
2019-09-12-23,17,8
2019-09-12-24,13,6
2019-09-13-01,15,6
2019-09-13-02,14,7
2019-09-13-03,15,6
2019-09-13-04,13,5
2019-09-13-05,14,4
2019-09-13-06,12,4
2019-09-13-07,12,6
2019-09-13-08,12,3
2019-09-13-09,12,3
2019-09-13-10,10,3
2019-09-13-11,8,1
2019-09-13-12,12,3
2019-09-13-13,12,2
2019-09-13-14,12,4
2019-09-13-15,10,2
2019-09-13-16,11,4
2019-09-13-17,14,4
2019-09-13-18,14,8
2019-09-13-19,18,9
2019-09-13-20,16,8
2019-09-13-21,21,11
2019-09-13-22,23,13
2019-09-13-23,24,13
2019-09-13-24,23,11
2019-09-14-01,21,10
2019-09-14-02,20,10
2019-09-14-03,21,9
2019-09-14-04,17,8
2019-09-14-05,14,8
2019-09-14-06,15,7
2019-09-14-07,14,7
2019-09-14-08,15,6
2019-09-14-09,16,6
2019-09-14-10,14,6
2019-09-14-11,14,5
2019-09-14-12,14,6
2019-09-14-13,18,7
2019-09-14-14,23,11
2019-09-14-15,27,11
2019-09-14-16,23,13
2019-09-14-17,18,12
2019-09-14-18,20,13
2019-09-14-19,23,17
2019-09-14-20,23,16
2019-09-14-21,26,18
2019-09-14-22,24,16
2019-09-14-23,26,18
2019-09-14-24,28,17
2019-09-15-01,28,17
2019-09-15-02,24,15
2019-09-15-03,22,13
2019-09-15-04,20,13
2019-09-15-05,17,11
2019-09-15-06,16,11
2019-09-15-07,18,13
2019-09-15-08,17,10
2019-09-15-09,16,9
2019-09-15-10,12,7
2019-09-15-11,10,7
2019-09-15-12,12,7
2019-09-15-13,9,6
2019-09-15-14,7,4
2019-09-15-15,5,5
2019-09-15-16,10,8
2019-09-15-17,13,10
2019-09-15-18,9,6
2019-09-15-19,14,13
2019-09-15-20,13,7
2019-09-15-21,11,7
2019-09-15-22,11,6
2019-09-15-23,10,5
2019-09-15-24,8,3
2019-09-16-01,8,4
2019-09-16-02,6,4
2019-09-16-03,6,2
2019-09-16-04,7,3
2019-09-16-05,8,4
2019-09-16-06,8,4
2019-09-16-07,11,2
2019-09-16-08,10,4
2019-09-16-09,12,6
2019-09-16-10,14,5
2019-09-16-11,13,4
2019-09-16-12,14,5
2019-09-16-13,15,6
2019-09-16-14,11,4
2019-09-16-15,13,5
2019-09-16-16,12,6
2019-09-16-17,12,9
2019-09-16-18,15,8
2019-09-16-19,17,10
2019-09-16-20,14,7
2019-09-16-21,14,7
2019-09-16-22,16,7
2019-09-16-23,19,8
2019-09-16-24,17,8
2019-09-17-01,13,8
2019-09-17-02,12,5
2019-09-17-03,13,7
2019-09-17-04,13,6
2019-09-17-05,14,7
2019-09-17-06,14,6
2019-09-17-07,17,6
2019-09-17-08,16,6
2019-09-17-09,21,9
2019-09-17-10,21,6
2019-09-17-11,19,6
2019-09-17-12,20,7
2019-09-17-13,20,5
2019-09-17-14,18,7
2019-09-17-15,22,11
2019-09-17-16,21,9
2019-09-17-17,22,10
2019-09-17-18,25,11
2019-09-17-19,27,13
2019-09-17-20,28,13
2019-09-17-21,29,15
2019-09-17-22,29,16
2019-09-17-23,28,13
2019-09-17-24,28,14
2019-09-18-01,29,15
2019-09-18-02,31,16
2019-09-18-03,31,15
2019-09-18-04,28,15
2019-09-18-05,29,13
2019-09-18-06,28,14
2019-09-18-07,33,13
2019-09-18-08,34,14
2019-09-18-09,35,15
2019-09-18-10,34,13
2019-09-18-11,34,13
2019-09-18-12,36,13
2019-09-18-13,37,15
2019-09-18-14,36,13
2019-09-18-15,42,12
2019-09-18-16,38,9
2019-09-18-17,37,7
2019-09-18-18,39,9
2019-09-18-19,44,11
2019-09-18-20,46,10
2019-09-18-21,39,11
2019-09-18-22,35,8
2019-09-18-23,32,6
2019-09-18-24,32,6
2019-09-19-01,28,8
2019-09-19-02,30,7
2019-09-19-03,30,7
2019-09-19-04,29,8
2019-09-19-05,28,8
2019-09-19-06,30,8
