,AI,RAW,PM10,RH,TEMP
2019-09-05 14:00,17.84285256,27.72115385,30.69230769,90.21064103,25.33855769
2019-09-05 15:00,8.460641026,10.41025641,11.22435897,94.66195513,23.36746795
2019-09-05 16:00,4.630254777,2.461783439,2.878980892,95.22665605,22.0839172
2019-09-05 17:00,4.57184466,2.498381877,2.948220065,96.0066343,21.82877023
2019-09-05 18:00,4.786774194,3.038709677,3.561290323,96.14003226,22.09303226
2019-09-05 19:00,4.758349515,2.783171521,3.394822006,95.80543689,22.22634304
2019-09-05 20:00,4.707451613,2.735483871,3.238709677,95.73935484,22.16525806
2019-09-05 21:00,5.082524272,3.754045307,4.184466019,95.58634304,22.32190939
2019-09-05 22:00,5.012491909,3.579288026,3.98381877,95.30951456,22.33126214
2019-09-05 23:00,4.662129032,2.532258065,2.909677419,95.62658065,22.24803226
2019-09-06 0:00,4.557850163,2.205211726,2.517915309,95.95061889,22.16055375
2019-09-06 1:00,4.680741935,2.583870968,3.019354839,96.32790323,22.23948387
2019-09-06 2:00,4.784595469,3,3.388349515,96.34822006,22.1931068
2019-09-06 3:00,4.492971246,1.974440895,2.297124601,96.38936102,22.13217252
2019-09-06 4:00,4.46416129,1.948387097,2.293548387,96.31067742,22.05012903
2019-09-06 5:00,4.450288462,1.96474359,2.291666667,96.40509615,21.98317308
2019-09-06 6:00,5.290643087,4.623794212,5.15755627,96.11308682,22.00643087
2019-09-06 7:00,4.64961039,2.568181818,2.811688312,95.40814935,22.16827922
2019-09-06 8:00,5.830258065,5.248387097,5.764516129,94.62067742,22.59177419
2019-09-06 9:00,5.879708738,4.682847896,5.142394822,92.67796117,23.35644013
2019-09-06 10:00,7.434096774,6.848387097,7.54516129,88.334,24.55267742
2019-09-06 11:00,10.6607717,10.55305466,11.45659164,79.57125402,26.43475884
2019-09-06 12:00,14.64106452,15.76129032,16.83870968,71.01022581,28.266
2019-09-06 13:00,18.7603537,22.61736334,24.22829582,67.24196141,29.52012862
2019-09-06 14:00,20.90244147,26.47826087,28.22742475,66.4264214,29.94555184
2019-09-06 15:00,20.5586859,25.75961538,27.48397436,66.94054487,30.04782051
2019-09-06 16:00,21.29923077,27.08974359,28.98076923,67.62948718,30.16096154
2019-09-06 17:00,21.87334405,28.65594855,30.94855305,73.46196141,29.07356913
2019-09-06 18:00,21.23554487,27.81089744,29.98076923,76.07528846,28.51163462
2019-09-06 19:00,18.29195513,23.04487179,24.55769231,76.79163462,28.28355769
2019-09-06 20:00,18.69445161,23.78064516,25.48064516,76.75422581,28.24574194
2019-09-06 21:00,19.64915858,26.11326861,27.81229773,78.80718447,27.88229773
2019-09-06 22:00,20.57098726,30.08917197,33.15286624,85.84133758,26.79691083
2019-09-06 23:00,20.85620579,31.18649518,34.71382637,87.54167203,26.54684887
2019-09-07 0:00,19.8043871,29.08387097,31.69677419,86.04577419,26.57567742
2019-09-07 1:00,16.91041667,23.38782051,24.92948718,82.64557692,26.45157051
2019-09-07 2:00,14.72812298,18.66343042,20.18122977,79.14537217,26.47951456
2019-09-07 3:00,13.14418006,16.49839228,17.62379421,80.73572347,25.84977492
2019-09-07 4:00,11.27224359,12.13461538,13.08333333,77.16099359,25.98887821
2019-09-07 5:00,10.1974,9.336666667,9.963333333,74.0297,26.2766
2019-09-07 6:00,9.840614887,8.236245955,8.83171521,72.41928803,26.49288026
2019-09-07 7:00,9.228599349,6.667752443,7.185667752,70.65788274,26.89700326
2019-09-07 8:00,7.181623377,3.548701299,3.922077922,62.81717532,28.88292208
2019-09-07 9:00,6.550392157,2.924836601,3.212418301,60.85944444,29.59058824
2019-09-07 10:00,7.543713355,3.83713355,4.156351792,61.62156352,29.79752443
2019-09-07 11:00,7.515409836,3.826229508,4.249180328,60.53557377,30.15370492
2019-09-07 12:00,7.896390728,4.572847682,4.874172185,59.64735099,30.78711921
2019-09-07 13:00,7.547394137,3.781758958,4.123778502,64.00462541,30.22087948
2019-09-07 14:00,5.914664537,1.71884984,2.044728435,66.14792332,29.71760383
2019-09-07 15:00,4.923677419,0.896774194,1.232258065,61.92222581,29.957
