time,AI,RAW,PM10,RH,TEMP
2020-07-20 10:49,7.34,9,9,73.91,27.21
2020-07-20 10:49,6.71,8,8,73.9,27.18
2020-07-20 10:49,7.33,9,9,73.96,27.16
2020-07-20 10:48,7.31,9,9,74.13,27.15
2020-07-20 10:48,7.31,9,10,74.22,27.14
2020-07-20 10:48,6.7,8,9,74.28,27.12
2020-07-20 10:48,6.7,8,8,74.3,27.11
2020-07-20 10:48,6.7,8,8,74.3,27.1
2020-07-20 10:47,6.06,7,7,74.25,27.12
2020-07-20 10:47,6.07,7,7,74.1,27.11
2020-07-20 10:47,5.42,6,6,74.07,27.12
2020-07-20 10:47,6.71,8,8,73.98,27.12
2020-07-20 10:47,8.14,12,12,73.95,27.11
2020-07-20 10:46,7.84,11,11,74.15,27.1
2020-07-20 10:46,6.69,8,9,74.27,27.08
2020-07-20 10:46,6.69,8,10,74.44,27.06
2020-07-20 10:46,6.68,8,8,74.67,27.02
2020-07-20 10:46,6.02,7,7,75.13,27
2020-07-20 10:45,7.16,9,10,75.6,26.95
2020-07-20 10:45,6,7,7,75.74,26.91
2020-07-20 10:45,6.64,8,8,75.67,26.87
2020-07-20 10:45,6.64,8,8,75.64,26.85
2020-07-20 10:45,6,7,7,75.54,26.82
2020-07-20 10:44,6.64,8,10,75.42,26.8
2020-07-20 10:44,7.17,9,9,75.3,26.78
2020-07-20 10:44,7.19,9,9,75.15,26.77
2020-07-20 10:44,6.65,8,8,74.91,26.77
2020-07-20 10:44,7.22,9,10,74.85,26.76
2020-07-20 10:43,7.2,9,9,75,26.76
2020-07-20 10:43,5.36,6,6,75.24,26.76
2020-07-20 10:43,6,7,7,75.32,26.74
2020-07-20 10:43,7.17,9,9,75.32,26.74
2020-07-20 10:43,7.15,9,9,75.38,26.73
2020-07-20 10:43,5.98,7,8,76,26.73
2020-07-20 10:42,4.68,5,5,76.11,26.71
2020-07-20 10:42,5.98,7,7,75.99,26.7
2020-07-20 10:42,6.61,8,9,76.04,26.68
2020-07-20 10:42,5.33,6,6,76.04,26.68
2020-07-20 10:42,6.62,8,8,75.96,26.68
2020-07-20 10:41,5.98,7,8,75.78,26.67
2020-07-20 10:41,6.63,8,9,75.48,26.67
2020-07-20 10:41,7.41,10,10,75.49,26.68
2020-07-20 10:41,6.63,8,8,75.4,26.68
2020-07-20 10:41,5.36,6,6,75.16,26.69
2020-07-20 10:40,6.65,8,8,74.88,26.72
2020-07-20 10:40,7.22,9,9,74.76,26.73
2020-07-20 10:40,6,7,7,75.12,26.76
2020-07-20 10:40,6,7,7,75.42,26.77
2020-07-20 10:40,6.64,8,8,75.3,26.77
2020-07-20 10:39,6.65,8,8,75.12,26.78
2020-07-20 10:39,6.01,7,8,75.06,26.77
2020-07-20 10:39,6.01,7,7,75.04,26.78
2020-07-20 10:39,6.02,7,7,74.66,26.81
2020-07-20 10:39,5.38,6,6,74.43,26.83
2020-07-20 10:38,7.21,9,9,74.84,26.84
2020-07-20 10:38,6.64,8,8,75.34,26.83
2020-07-20 10:38,6.64,8,8,75.37,26.83
2020-07-20 10:38,7.16,9,9,75.42,26.81
2020-07-20 10:38,7.16,9,10,75.48,26.82
2020-07-20 10:38,6.64,8,8,75.6,26.8
2020-07-20 10:37,6,7,7,75.57,26.79
2020-07-20 10:37,5.35,6,6,75.45,26.77
2020-07-20 10:37,6.01,7,7,75.21,26.75
2020-07-20 10:37,6.65,8,8,74.98,26.76
2020-07-20 10:37,6.01,7,7,74.91,26.76
2020-07-20 10:36,6.02,7,7,74.71,26.77
2020-07-20 10:36,6.66,8,9,74.59,26.78
2020-07-20 10:36,6.02,7,8,74.71,26.79
2020-07-20 10:36,6.02,7,8,74.8,26.8
2020-07-20 10:36,6.02,7,7,74.89,26.81
2020-07-20 10:35,5.37,6,8,74.72,26.81
2020-07-20 10:35,6.02,7,9,74.69,26.83
2020-07-20 10:35,4.74,5,5,74.52,26.87
2020-07-20 10:35,4.75,5,5,74.32,26.87
2020-07-20 10:35,5.39,6,6,74.5,26.88
2020-07-20 10:34,5.37,6,6,74.97,26.9
2020-07-20 10:34,5.37,6,6,75.14,26.9
2020-07-20 10:34,6.66,8,8,75.15,26.89
2020-07-20 10:34,6.65,8,8,75.2,26.89
2020-07-20 10:34,6.01,7,9,75.23,26.89
2020-07-20 10:33,6.02,7,9,75.14,26.88
2020-07-20 10:33,5.37,6,6,75.14,26.86
2020-07-20 10:33,5.37,6,6,75.14,26.87
2020-07-20 10:33,6.01,7,7,75.2,26.88
2020-07-20 10:33,6.02,7,7,74.96,26.87
2020-07-20 10:32,6.03,7,7,74.7,26.87
