time,DMU1_AI,DMU1_RAW,DMU1_PM10,DMU1_RH,DMU1_TEMP,DMU2_AI,DMU2_RAW,DMU2_PM10,DMU2_RH,DMU2_TEMP,DMU3_AI,DMU3_RAW,DMU3_PM10,DMU3_RH,DMU3_TEMP,DMU4_AI,DMU4_RAW,DMU4_PM10,DMU4_RH,DMU4_TEMP,pm10,pm25
2020-07-15 13:00:00,3.1157142857142857,1.2857142857142858,1.2857142857142858,39.39714285714286,29.26,2.7279239766081904,2.52046783625731,3.0350877192982457,37.18877192982455,34.38289473684212,4.193685897435906,2.8525641025641026,3.4551282051282053,25.232532051282046,38.25740384615384,4.9185483870967674,4.006451612903226,4.396774193548387,25.444645161290328,37.86048387096776,10.0,5.0
2020-07-15 16:00:00,5.692560000000001,5.44,6.504,31.02952000000002,33.71144000000001,2.908211143695012,3.2844574780058653,3.7888563049853374,35.70598240469208,34.9200293255132,4.424951768488745,3.167202572347267,3.7138263665594855,20.988713826366546,41.47231511254021,5.32658064516129,4.767741935483871,5.429032258064516,21.935741935483865,40.495548387096804,9.0,5.0
2020-07-15 17:00:00,4.409770491803277,3.2065573770491804,3.822950819672131,27.284000000000013,36.938098360655765,2.989473684210528,3.1491228070175437,3.672514619883041,36.47301169590641,34.87391812865497,4.3761538461538505,3.0801282051282053,3.548076923076923,21.70999999999998,41.27717948717949,5.129064516129042,4.383870967741935,4.835483870967742,21.087516129032256,41.838161290322574,10.0,4.0
2020-07-15 18:00:00,4.136282894736842,2.7960526315789473,3.3190789473684212,29.43125000000002,35.57851973684209,2.974604105571848,2.5806451612903225,2.941348973607038,38.859442815249274,33.49815249266861,4.062268370607028,2.5814696485623,3.0031948881789137,25.25137380191692,38.40501597444088,4.678737864077673,3.6310679611650487,4.038834951456311,22.800194174757287,40.44336569579286,11.0,5.0
2020-07-15 19:00:00,6.0410064935064955,5.483766233766234,6.275974025974026,36.627337662337695,32.26935064935065,5.257543859649122,5.271929824561403,5.918128654970761,46.11119883040934,30.431228070175415,5.784472843450486,5.095846645367412,5.715654952076678,33.55073482428112,33.71738019169327,6.8640645161290195,6.832258064516129,7.22258064516129,30.92693548387098,35.46216129032257,12.0,7.0
2020-07-15 20:00:00,10.322322580645158,12.058064516129033,13.516129032258064,50.736870967741964,28.103838709677433,9.982463343108506,11.826979472140762,12.882697947214076,60.8424926686217,26.346392961876894,9.95363057324839,11.200636942675159,12.210191082802547,47.083566878980854,29.405891719745238,11.389158576051765,14.472491909385113,15.093851132686083,48.29071197411012,28.760355987055025,13.0,9.0
2020-07-15 21:00:00,10.752419354838706,13.412903225806451,15.070967741935483,55.36496774193546,27.050903225806454,10.593970588235315,13.255882352941176,14.355882352941176,65.8153235294118,25.284735294117645,10.674038461538474,12.823717948717949,13.849358974358974,51.81730769230776,28.24288461538463,12.052733118971064,16.424437299035368,17.225080385852092,53.49302250803859,27.505884244372986,19.0,14.0
2020-07-15 22:00:00,10.693333333333335,13.532051282051283,15.118589743589743,56.07788461538459,26.582756410256415,10.535835777126117,13.043988269794722,14.27859237536657,66.9997360703812,24.686217008797676,10.666784565916412,12.80064308681672,13.92282958199357,52.78360128617362,27.69231511254022,11.797999999999996,15.912903225806451,16.677419354838708,54.34048387096774,27.007806451612876,19.0,14.0
2020-07-15 23:00:00,11.07331189710611,15.05144694533762,16.861736334405144,57.193279742765284,26.22717041800646,11.20554252199413,14.651026392961876,16.24633431085044,68.37891495601178,24.25997067448678,11.239522292993628,14.343949044585987,15.818471337579618,53.87277070063698,27.337484076433125,12.114790996784576,17.189710610932476,18.221864951768488,55.487266881028944,26.648424437299063,20.0,14.0
2020-07-16 00:00:00,11.751258064516138,17.696774193548386,19.761290322580646,58.588129032258074,25.805741935483884,12.470205882352946,17.6,19.455882352941178,70.03650000000002,23.780735294117626,12.117041800643086,17.073954983922828,18.69774919614148,55.34935691318327,26.872411575562683,12.962025723472673,20.20257234726688,21.5016077170418,56.71871382636656,26.269517684887454,23.0,17.0
2020-07-16 01:00:00,11.637371794871795,17.46474358974359,19.653846153846153,58.83974358974357,25.8589423076923,12.417029411764725,17.455882352941178,19.06764705882353,70.57955882352945,23.759352941176466,11.905636942675152,16.585987261146496,18.366242038216562,55.711974522293,26.889777070063694,12.752852564102557,19.794871794871796,21.05448717948718,57.16714743589752,26.27676282051284,21.0,14.0
2020-07-16 02:00:00,11.431832797427651,17.183279742765272,19.369774919614148,59.32826366559488,25.548424437299037,12.428147058823516,17.44705882352941,19.288235294117648,71.60261764705885,23.308323529411787,11.586102236421727,16.099041533546327,17.6741214057508,56.42073482428117,26.501469648562264,12.446538461538465,19.025641025641026,20.246794871794872,57.28253205128201,26.08842948717949,23.0,15.0
2020-07-16 03:00:00,10.660387096774189,15.69032258064516,17.683870967741935,60.654064516129026,25.089709677419364,11.827941176470597,15.970588235294118,17.720588235294116,73.12685294117652,22.80632352941178,11.029872611464965,15.26751592356688,16.735668789808916,57.83429936305732,26.00283439490445,11.630161290322592,17.532258064516128,18.651612903225807,58.8239677419355,25.538,23.0,15.0
2020-07-16 04:00:00,10.113633440514471,15.742765273311898,17.60128617363344,63.852733118971074,24.411929260450158,11.85739002932552,15.941348973607038,17.50733137829912,76.28428152492671,22.185043988269786,10.414230769230773,14.951923076923077,16.42628205128205,60.75887820512822,25.37612179487177,10.977354838709681,17.29032258064516,18.3,62.022516129032326,24.8539677419355,21.0,15.0
2020-07-16 05:00:00,10.976506410256414,18.134615384615383,20.147435897435898,63.7269230769231,24.57439102564103,12.822382352941172,18.25,20.055882352941175,76.09847058823537,22.386500000000005,11.1558785942492,17.070287539936103,18.971246006389777,60.81124600638977,25.506645367412144,11.827064516129031,19.441935483870967,20.73548387096774,61.55406451612898,25.120645161290323,21.0,15.0
