time,DMU1_AI,DMU1_RAW,DMU1_PM10,DMU1_RH,DMU1_TEMP,DMU2_AI,DMU2_RAW,DMU2_PM10,DMU2_RH,DMU2_TEMP,DMU3_AI,DMU3_RAW,DMU3_PM10,DMU3_RH,DMU3_TEMP,DMU4_AI,DMU4_RAW,DMU4_PM10,DMU4_RH,DMU4_TEMP
2020-07-15 12:34:00,2.7099999999999995,0.3333333333333333,0.3333333333333333,39.583333333333336,28.86,5.136666666666667,6.916666666666667,7.333333333333333,40.62,33.53333333333334,5.900999999999999,5.6,6.3,31.601999999999997,34.997,7.116,8.5,9.2,31.055,35.147000000000006
2020-07-15 12:36:00,2.716,0.4,0.4,40.099000000000004,28.831999999999994,4.604545454545454,5.0,5.181818181818182,41.01,33.22545454545455,6.107272727272728,5.909090909090909,6.7272727272727275,31.64909090909091,34.97363636363636,7.0569999999999995,7.8,9.0,30.889999999999997,35.31099999999999
2020-07-15 12:38:00,2.6645454545454546,0.2727272727272727,0.2727272727272727,40.51090909090909,28.84181818181818,3.388333333333333,3.0,3.5833333333333335,41.54916666666666,32.927499999999995,4.673,3.8,4.9,31.335,35.171,4.801,4.0,4.6,30.107,35.795
2020-07-15 12:40:00,2.8010000000000006,0.6,1.2,40.362,28.875999999999998,6.656363636363636,8.909090909090908,10.090909090909092,41.608181818181826,33.50363636363636,8.184545454545454,10.0,11.272727272727273,31.34636363636364,35.76818181818182,9.123636363636363,12.0,13.090909090909092,29.984545454545454,36.447272727272725
2020-07-15 12:42:00,2.82,0.7,0.7,40.262,28.909000000000002,6.697272727272727,9.818181818181818,10.818181818181818,41.048181818181824,33.54636363636364,7.449000000000001,9.0,10.0,30.395999999999997,36.235,9.314,12.8,14.4,29.110000000000003,36.875
2020-07-15 12:44:00,2.700909090909091,0.36363636363636365,0.8181818181818182,40.13,28.925454545454553,3.6358333333333337,3.3333333333333335,3.9166666666666665,42.080000000000005,32.723333333333336,7.144000000000001,7.7,8.9,30.373,36.091,6.33818181818182,6.7272727272727275,7.2727272727272725,29.38,36.47727272727273
2020-07-15 12:46:00,2.7845454545454547,0.5454545454545454,1.0909090909090908,40.052727272727275,28.990000000000006,3.8018181818181827,3.5454545454545454,4.181818181818182,42.57090909090909,32.50636363636364,4.194545454545454,3.0,3.5454545454545454,30.618181818181814,35.86000000000001,4.799,4.0,4.3,29.887999999999998,36.145999999999994
2020-07-15 12:48:00,2.717,0.4,0.4,39.893,29.026999999999997,4.480909090909091,4.636363636363637,5.7272727272727275,42.59454545454546,32.623636363636365,5.679090909090909,5.454545454545454,5.909090909090909,31.563636363636363,35.22636363636363,6.643000000000001,6.9,7.9,30.915999999999997,35.408
2020-07-15 12:50:00,2.797,0.6,0.7,39.699000000000005,29.104999999999997,5.100833333333333,5.833333333333333,7.0,42.040000000000006,32.92333333333333,5.631000000000001,5.2,5.5,31.798000000000002,35.033,7.110000000000001,7.5,8.5,31.248,35.19500000000001
2020-07-15 12:52:00,2.5809999999999995,0.0,0.7,39.475,29.116999999999997,4.681818181818181,5.2727272727272725,6.454545454545454,41.60181818181818,33.041818181818186,5.190000000000001,4.636363636363637,5.090909090909091,31.722727272727276,35.059999999999995,6.551818181818183,6.7272727272727275,7.090909090909091,30.95727272727273,35.33636363636364
2020-07-15 12:54:00,2.816,0.6,0.7,39.687,29.110000000000003,3.5009090909090905,3.0,3.727272727272727,42.831818181818186,32.14818181818181,4.628181818181819,3.727272727272727,4.181818181818182,32.30636363636364,34.769090909090906,5.2,4.6,5.2,31.483999999999998,34.93
2020-07-15 12:56:00,2.924545454545455,0.9090909090909091,1.5454545454545454,39.375454545454545,29.185454545454544,3.4933333333333336,2.8333333333333335,3.5833333333333335,44.15416666666667,31.557500000000005,4.562,3.6,4.7,31.969,34.967,5.776363636363637,5.545454545454546,5.636363636363637,31.667272727272724,34.97
2020-07-15 12:58:00,2.984,1.0,1.1,39.632999999999996,29.206999999999994,3.1536363636363642,2.4545454545454546,2.909090909090909,42.81909090909091,32.20636363636363,3.8936363636363636,2.4545454545454546,2.727272727272727,30.623636363636365,35.5790909090909,6.4239999999999995,6.6,7.0,29.708000000000006,36.047999999999995
2020-07-15 13:00:00,3.1157142857142857,1.2857142857142858,1.2857142857142858,39.39714285714286,29.26,3.231666666666667,2.6666666666666665,2.6666666666666665,42.005,32.55083333333334,3.9810000000000003,2.6,2.7,30.808999999999997,35.338,7.292999999999999,7.8,8.7,30.203000000000003,35.535
2020-07-15 16:34:00,4.233333333333333,3.0,4.333333333333333,38.050000000000004,30.136666666666667,2.5454545454545454,2.1818181818181817,2.5454545454545454,36.50727272727273,34.47727272727273,3.8599999999999994,2.2,2.9,21.570999999999998,41.322,4.811999999999999,3.8,4.1,21.852,40.72599999999999
2020-07-15 16:36:00,3.75,2.090909090909091,2.4545454545454546,35.91181818181818,31.04909090909091,2.346363636363636,2.0,2.8181818181818183,36.16909090909091,34.73636363636364,3.403999999999999,1.4,1.6,21.101,41.539,4.078181818181818,2.5454545454545454,3.3636363636363638,21.553636363636365,41.00272727272727
2020-07-15 16:38:00,4.408,3.0,3.8,33.897000000000006,32.06699999999999,2.405,2.3333333333333335,2.8333333333333335,35.51333333333333,35.06166666666666,3.527,1.6,1.8,20.509000000000004,41.962,4.647,3.5,4.6,21.005,41.313
